Text,Category
একটা বেকার ছেলের মাকে খুন করার মত মানসিকতা তৈরী হওয়ার পিছনে কারণ গুলো বের করে সমাধান করা উচিত। নতুবা এই ধরণের ঘটনা বারবার ঘটা অস্বাভাবিক কিছু হবে না।,ranoAG
আরিফ ভাই রোহিঙ্গাদেদেরও সাহায্য করুন।,ranoAG
"বাংলাদেশে নির্বাচন আসলে ব্যাপক বিনোদন ফ্রিতে পাওয়া যায়,আমরা চায় বাংলাদেশে প্রতি পাচ বছর বছর না হয়ে এক বছর বছর পর হলে ভালো হতো,হার্টের রোগী কমে যেতো।",ranoAG
"বিশ্বকাপ চলাকালীন সময়ে আমরা দিরিলিস আর্তগোল দেখতে চাই, তাই আপনারা দয়া করে, অনুগ্রহ করে অন্য সময় হলেও আমাদের দিরিলিস প্রেমীদের দিরিলিস দেখার সুযোগ করে দিন ধন্যবাদ।",ranoAG
চাকুরীর আশা বাদ দিয়ে যদি কিছু করা যায় তবে মন্দ কি ,ranoAG
কাজকে সম্মান করার শিক্ষা না হলে আরো কত কি দেখতে হবে,ranoAG
নিজের উপজেলা শুধু বেছে নিলেন! দেশের প্রত্যেকটা উপজেলা এবং গ্রাম লোডশেডিং এর কবলে বিপর্যস্ত!,ranoAG
"অসাধারণ,,,খুব ভাল লাগে আপনাকে আপনার কর্মকান্ডগুলোকে,,আপনার মত সৎ,দক্ষ পরিশ্রমী সাংসদ যদি প্রতিটি আসনেই হত তাহলে খুব সহজেই বঙ্গবন্ধুর স্বপ্নের সোনার বাংলা গড়ে উড়ত,,,আল্লাহ পাক আপনাকে দীর্ঘ নেক হায়াৎ দান করুক,,আমিন।",ranoAG
দেশে আপনারমত আরকিছু নেতা দরকার তাহলে আমাদের দেশটা ডিজিটাল বাংলাদেশ হবে।,ranoAG
হাজারো সালাম জানাই স‍্যার আপনাকে। এগিয়ে যাচ্ছে বাংলাদেশ । ,ranoAG
ভাবতেছি এবারে পায়জামা কিনবো না একটা গেঞ্জি আর একটা লুঙ্গি কিনবো। দুইটারি পকেট নাই,ranoAG
তারটি অর্ধছেঁড়া ছিল কিন্তু পল্লীবিদ্যুৎ ওয়ালারা মেরামত করেনি,ranoAG
হায়েনারা গতিবিদি লক্ষ রাখে তাই সাবধানতা অভলম্বন করা উচিত ভাই।,ranoAG
বাড়িতে যান নির্ভয়ে কিছুই হবে না।।। মরতে তো একদিন হবেই। ভীত নয় আমরা।,ranoAG
